task_id,model,edit_format,passed,turns,tool_calls,invalid_tool_calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_seconds,error
c01_localized_bug__medium,claude-sonnet-4-6,search_replace,1,1,1,0,4920,119,0,0,3.149,
c01_localized_bug__medium,claude-sonnet-4-6,semantic,1,1,1,0,4011,202,0,1875,3.523,
c01_localized_bug__medium,claude-sonnet-4-6,search_plus,1,1,1,0,4011,119,0,1359,2.297,
c02_multi_site__medium,claude-sonnet-4-6,search_replace,0,1,1,0,4952,131,0,0,2.593,
c02_multi_site__medium,claude-sonnet-4-6,semantic,1,1,3,0,4043,595,1875,0,7.433,
c02_multi_site__medium,claude-sonnet-4-6,search_plus,0,1,1,0,4043,131,1359,0,2.320,
c03_xfile_rename__medium,claude-sonnet-4-6,search_replace,0,1,1,0,4919,546,0,0,7.258,
c03_xfile_rename__medium,claude-sonnet-4-6,semantic,1,1,1,0,4010,285,1875,0,5.324,
c03_xfile_rename__medium,claude-sonnet-4-6,search_plus,1,1,1,0,4010,302,1359,0,4.990,
c04_signature_change__medium,claude-sonnet-4-6,search_replace,0,1,1,0,4958,391,0,0,5.882,
c04_signature_change__medium,claude-sonnet-4-6,semantic,0,1,1,0,4049,313,1875,0,5.625,
c04_signature_change__medium,claude-sonnet-4-6,search_plus,0,1,1,0,4049,387,1359,0,6.337,
c05_api_migration__medium,claude-sonnet-4-6,search_replace,0,1,1,0,5021,136,0,0,2.604,
c05_api_migration__medium,claude-sonnet-4-6,semantic,0,1,1,0,4112,154,1875,0,3.851,
c05_api_migration__medium,claude-sonnet-4-6,search_plus,0,1,1,0,4112,199,1359,0,3.141,
c06_extract_function__medium,claude-sonnet-4-6,search_replace,1,1,1,0,5087,977,0,0,12.139,
c06_extract_function__medium,claude-sonnet-4-6,semantic,0,1,1,0,4178,487,1875,0,8.168,
c06_extract_function__medium,claude-sonnet-4-6,search_plus,1,1,1,0,4178,938,1359,0,11.612,
c07_inline_function__medium,claude-sonnet-4-6,search_replace,1,1,1,0,5004,364,0,0,5.467,
c07_inline_function__medium,claude-sonnet-4-6,semantic,1,1,2,0,4095,291,1875,0,4.436,
c07_inline_function__medium,claude-sonnet-4-6,search_plus,1,1,1,0,4095,374,1359,0,4.836,
c08_add_feature__medium,claude-sonnet-4-6,search_replace,0,1,1,0,5092,319,0,0,4.863,
c08_add_feature__medium,claude-sonnet-4-6,semantic,0,1,2,1,4183,399,1875,0,6.238,
c08_add_feature__medium,claude-sonnet-4-6,search_plus,0,1,1,0,4183,324,1359,0,4.657,
c09_remove_sweep__medium,claude-sonnet-4-6,search_replace,0,1,1,0,5150,1354,0,0,14.567,
c09_remove_sweep__medium,claude-sonnet-4-6,semantic,0,1,2,0,4241,387,1875,0,7.371,
c09_remove_sweep__medium,claude-sonnet-4-6,search_plus,0,1,1,0,4241,1244,1359,0,15.958,
c10_repetitive_structure__medium,claude-sonnet-4-6,search_replace,1,1,1,0,4991,317,0,0,4.829,
c10_repetitive_structure__medium,claude-sonnet-4-6,semantic,1,1,1,0,4082,220,1875,0,3.691,
c10_repetitive_structure__medium,claude-sonnet-4-6,search_plus,1,1,1,0,4082,317,1359,0,4.194,
c11_type_changes__medium,claude-sonnet-4-6,search_replace,1,1,1,0,5059,738,0,0,9.422,
c11_type_changes__medium,claude-sonnet-4-6,semantic,0,1,2,0,4150,358,1875,0,6.248,
c11_type_changes__medium,claude-sonnet-4-6,search_plus,1,1,1,0,4150,728,1359,0,8.440,
c12_hygiene__medium,claude-sonnet-4-6,search_replace,1,1,1,0,5042,953,0,0,12.444,
c12_hygiene__medium,claude-sonnet-4-6,semantic,0,1,1,0,4133,181,1875,0,3.939,
c12_hygiene__medium,claude-sonnet-4-6,search_plus,1,1,1,0,4133,983,1359,0,11.823,
c13_test_work__medium,claude-sonnet-4-6,search_replace,1,1,1,0,5073,464,0,0,5.822,
c13_test_work__medium,claude-sonnet-4-6,semantic,0,1,1,0,4164,255,1875,0,5.625,
c13_test_work__medium,claude-sonnet-4-6,search_plus,0,1,1,0,4164,284,1359,0,5.485,
c14_config_code__medium,claude-sonnet-4-6,search_replace,1,1,2,0,5081,381,0,0,5.351,
c14_config_code__medium,claude-sonnet-4-6,semantic,0,1,2,0,4172,299,1875,0,5.259,
c14_config_code__medium,claude-sonnet-4-6,search_plus,1,1,2,0,4172,418,1359,0,6.157,
