task_id,model,edit_format,passed,turns,tool_calls,invalid_tool_calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_seconds,error
c01_localized_bug__medium,claude-sonnet-4-6,search_replace,1,1,1,0,4818,119,0,0,3.433,
c01_localized_bug__medium,claude-sonnet-4-6,semantic,1,1,1,0,4011,202,0,1773,3.477,
c02_multi_site__medium,claude-sonnet-4-6,search_replace,0,1,1,0,4850,131,0,0,3.100,
c02_multi_site__medium,claude-sonnet-4-6,semantic,0,1,1,0,4043,200,1773,0,3.452,
c03_xfile_rename__medium,claude-sonnet-4-6,search_replace,0,1,1,0,4817,516,0,0,7.205,
c03_xfile_rename__medium,claude-sonnet-4-6,semantic,1,1,1,0,4010,300,1773,0,5.470,
c04_signature_change__medium,claude-sonnet-4-6,search_replace,0,1,1,0,4856,391,0,0,5.236,
c04_signature_change__medium,claude-sonnet-4-6,semantic,1,1,2,0,4049,483,1773,0,7.622,
c05_api_migration__medium,claude-sonnet-4-6,search_replace,0,1,1,0,4919,136,0,0,2.901,
c05_api_migration__medium,claude-sonnet-4-6,semantic,0,1,1,0,4112,149,1773,0,3.326,
c06_extract_function__medium,claude-sonnet-4-6,search_replace,1,1,1,0,4985,1007,0,0,12.070,
c06_extract_function__medium,claude-sonnet-4-6,semantic,0,1,1,0,4178,455,1773,0,8.135,
c07_inline_function__medium,claude-sonnet-4-6,search_replace,1,1,1,0,4902,305,0,0,4.313,
c07_inline_function__medium,claude-sonnet-4-6,semantic,0,1,1,0,4095,244,1773,0,4.112,
c08_add_feature__medium,claude-sonnet-4-6,search_replace,0,1,1,0,4990,324,0,0,5.006,
c08_add_feature__medium,claude-sonnet-4-6,semantic,0,1,2,1,4183,399,1773,0,5.927,
c09_remove_sweep__medium,claude-sonnet-4-6,search_replace,0,1,1,0,5048,1265,0,0,13.983,
c09_remove_sweep__medium,claude-sonnet-4-6,semantic,0,1,2,0,4241,398,1773,0,6.892,
c10_repetitive_structure__medium,claude-sonnet-4-6,search_replace,1,1,1,0,4889,317,0,0,4.873,
c10_repetitive_structure__medium,claude-sonnet-4-6,semantic,1,1,1,0,4082,219,1773,0,3.735,
c11_type_changes__medium,claude-sonnet-4-6,search_replace,1,1,1,0,4957,738,0,0,8.690,
c11_type_changes__medium,claude-sonnet-4-6,semantic,1,1,5,0,4150,687,1773,0,10.549,
c12_hygiene__medium,claude-sonnet-4-6,search_replace,1,1,1,0,4940,949,0,0,11.114,
c12_hygiene__medium,claude-sonnet-4-6,semantic,0,1,1,0,4133,181,1773,0,3.696,
c13_test_work__medium,claude-sonnet-4-6,search_replace,1,1,1,0,4971,464,0,0,6.053,
c13_test_work__medium,claude-sonnet-4-6,semantic,1,1,1,0,4164,314,1773,0,4.931,
c14_config_code__medium,claude-sonnet-4-6,search_replace,1,1,2,0,4979,369,0,0,5.378,
c14_config_code__medium,claude-sonnet-4-6,semantic,0,1,1,0,4172,226,1773,0,5.049,
